id,fdc_id,seq_num,amount,measure_unit_id,portion_description,modifier,gram_weight,data_points,footnote,min_year_acquired
187495,746766,1,0.2,1000,"","",64.6,21,"",2016
187496,746766,3,0.5,1000,"","",129.0,1,"",2016
187497,746766,3,1.0,1000,"","",258.0,1,"",2016
187498,746767,1,1.0,1050,"",regular,21.9,826,"",2013
187499,746767,2,1.0,1050,"",thin,10.9,439,"",2013
187500,746768,1,1.0,1000,"","",149.0,1,"",2001
187501,746768,2,1.0,1071,"","",8.4,1,"",2001
187502,746769,1,1.0,1117,"","",581.0,4,"",2001
187503,746770,1,1.0,1000,"",cubes,160.0,1,"",2001
187504,746770,2,1.0,1000,"",diced,156.0,1,"",2001
187505,746770,3,1.0,1071,"","large (about 6-1/2"" dia)",814.0,1,"",2001
187506,746770,4,1.0,1060,"",large (1/8 of large melon),102.0,1,"",2001
187507,746770,5,1.0,1071,"","medium (about 5"" dia)",552.0,1,"",2001
187508,746770,6,1.0,1060,"",medium (1/8 of medium melon),69.0,1,"",2001
187509,746770,7,1.0,1071,"","small (about 4-1/4"" dia)",441.0,1,"",2001
187510,746770,8,1.0,1060,"",small (1/8 of small melon),55.0,1,"",2001
187511,746770,9,10.0,1044,"",balls,138.0,1,"",2001
187512,746771,1,1.0,1000,"",sections no membranes,165.0,1,"",2001
187513,746771,2,1.0,1071,""," 2-7/8"" dia",140.0,1,"",2001
187514,746772,1,1.0,1000,"","",246.0,3,"",2018
187515,746773,1,1.0,1000,"",slices,140.0,1,"",2000
187516,746773,2,1.0,1071,"",small,148.0,1,"",2000
187517,746773,3,1.0,1071,"",medium,178.0,1,"",2000
187518,746773,4,1.0,1071,"",large,230.0,1,"",2000
187519,746774,1,1.0,1069,"","",611.0,24,"",2009
187520,746774,2,3.0,1044,"","",41.8,13,"",2009
187521,746775,1,1.0,1002,"","",6.1,24,"",2018
187522,746776,1,1.0,1000,"","",246.0,3,"",2018
187523,746777,1,2.0,1001,"","",35.7,24,"",2011
187524,746778,1,1.0,1000,"","",245.0,3,"",2018
187525,746779,1,1.0,1033,"","",18.6,8,"",2016
187526,746780,1,1.0,1033,"",medium,86.6,21,"",2016
187527,746781,1,1.0,1033,"",medium,80.4,3,"",2016
187528,746781,2,1.0,1033,"",long,186.0,1,"",2016
187529,746781,3,1.0,1000,"",ground,185.0,6,"",2016
187530,746782,1,1.0,1000,"","",249.0,3,"",2018
187531,746783,1,1.0,1033,"","",27.9,3,"",2016
187532,746783,2,1.0,1039,"","",450.0,9,"",2016
187533,746784,1,1.0,1002,"","",4.0,19,"",2006
187534,746784,2,1.0,1000,"","",188.0,14,"",2006
187535,746785,1,1.0,1010,"",crumbles,155.0,48,"",2009
187559,746952,1,1.0,1050,"","",16.2,23,"",2018
187632,747429,1,1.0,1050,"","",16.0,72,"",2017
187633,747447,1,1.0,1000,"",chopped,76.0,12,"",2001
190538,747997,1,1.0,1099,"",white,34.0,576,"",2019
192336,748236,1,1.0,1099,"",yolk,17.0,531,"",2019
192340,748278,1,100.0,1004,"","",90.9,3,"",2019
192344,748323,1,100.0,1004,"","",91.3,3,"",2019
192348,748366,1,100.0,1004,"","",91.3,3,"",2019
192355,748608,1,100.0,1004,"","",90.7,6,"",2019
193781,748967,1,1.0,1099,"",whole without shell,50.3,526,"",2019
193859,749420,1,1.0,1050,"","",6.3,51,"",2017
234609,790577,1,1.0,1120,"",Edible,197.0,30,"",2019
234698,790646,1,1.0,1120,"",Edible,143.0,44,"",2019
234849,790774,1,1.0,1119,"",Peeled,110.0,50,"",2019
235156,790991,1,1.0,1119,"",Peeled,115.0,102,"",2019
267488,1105073,1,1.0,1119,"",Peeled,110.0,50,"",2019
267795,1105314,1,1.0,1119,"",Peeled,115.0,102,"",2019
